@relation yeast6_clustered

@attribute Instance_number numeric
@attribute Mcg numeric
@attribute Gvh numeric
@attribute Alm numeric
@attribute Mit numeric
@attribute Erl numeric
@attribute Pox numeric
@attribute Vac numeric
@attribute Nuc numeric
@attribute Class {positive,negative}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33}

@data
212,0.73,0.83,0.43,0.3,0.5,0,0.55,0.22,negative,cluster3
213,0.78,0.74,0.58,0.25,1,0,0.53,0.22,negative,cluster15
214,0.7,0.65,0.54,0.28,0.5,0,0.6,0.4,negative,cluster29
215,0.47,0.54,0.37,0.14,0.5,0,0.5,0.22,negative,cluster28
216,0.56,0.52,0.48,0.17,0.5,0,0.46,0.22,negative,cluster32
217,0.57,0.41,0.59,0.24,0.5,0,0.4,0.22,negative,cluster4
218,0.56,0.41,0.58,0.21,0.5,0,0.42,0.22,negative,cluster4
219,0.58,0.56,0.45,0.12,0.5,0,0.51,0.22,negative,cluster32
220,0.53,0.38,0.66,0.25,0.5,0,0.43,0.22,negative,cluster4
221,0.34,0.36,0.54,0.11,0.5,0,0.36,0.21,negative,cluster33
222,0.69,0.61,0.38,0.27,0.5,0,0.52,0.22,negative,cluster29
223,0.37,0.53,0.6,0.19,0.5,0.5,0.42,0.22,negative,cluster1
224,0.41,0.45,0.53,0.17,0.5,0,0.51,0.25,negative,cluster25
225,0.31,0.46,0.54,0.52,0.5,0,0.5,0.34,negative,cluster12
226,0.36,0.37,0.33,0.14,0.5,0,0.57,0.31,negative,cluster5
227,0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,negative,cluster11
228,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,negative,cluster10
229,0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,negative,cluster10
230,0.53,0.44,0.51,0.33,0.5,0,0.52,0.22,negative,cluster27
231,0.46,0.54,0.71,0.15,0.5,0,0.59,0.22,negative,cluster10
232,0.4,0.56,0.48,0.14,0.5,0,0.47,0.22,negative,cluster11
233,0.53,0.53,0.6,0.13,0.5,0,0.49,0.22,negative,cluster32
234,0.42,0.57,0.72,0.22,0.5,0,0.57,0.22,negative,cluster10
235,0.45,0.27,0.57,0.36,0.5,0,0.52,0.18,negative,cluster7
236,0.2,0.26,0.52,0.14,0.5,0,0.53,0.44,negative,cluster21
237,0.51,0.53,0.55,0.14,0.5,0,0.51,0.22,negative,cluster32
238,0.44,0.68,0.45,0.51,0.5,0,0.52,0.41,negative,cluster18
239,0.27,0.39,0.66,0.11,0.5,0,0.44,0.22,negative,cluster33
240,0.55,0.42,0.34,0.3,0.5,0,0.52,0.22,negative,cluster16
241,0.34,0.42,0.3,0.23,0.5,0,0.53,0.22,negative,cluster5
242,0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,negative,cluster1
243,0.59,0.58,0.56,0.21,0.5,0,0.54,0.33,negative,cluster0
244,0.39,0.28,0.46,0.12,0.5,0,0.41,0.22,negative,cluster33
245,0.56,0.43,0.54,0.16,0.5,0,0.5,0.22,negative,cluster4
246,0.36,0.68,0.38,0.08,0.5,0,0.53,0.25,negative,cluster6
247,0.27,0.36,0.6,0.33,0.5,0,0.37,0.31,negative,cluster7
248,0.35,0.4,0.59,0.22,0.5,0,0.47,0.37,negative,cluster17
249,0.42,0.32,0.5,0.21,0.5,0,0.51,0.22,negative,cluster33
250,0.23,0.2,0.53,0.2,0.5,0,0.44,0.22,negative,cluster21
251,0.55,0.54,0.56,0.22,0.5,0,0.5,0.37,negative,cluster0
252,0.36,0.24,0.49,0.16,0.5,0,0.51,0.22,negative,cluster33
253,0.38,0.48,0.59,0.22,0.5,0,0.46,0.22,negative,cluster11
254,0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,negative,cluster26
255,0.6,0.56,0.47,0.2,0.5,0,0.5,0.38,negative,cluster0
256,0.41,0.24,0.54,0.26,0.5,0,0.41,0.22,negative,cluster7
257,0.47,0.65,0.54,0.62,0.5,0,0.53,0.36,negative,cluster23
258,0.43,0.39,0.54,0.14,0.5,0,0.47,0.22,negative,cluster33
259,0.5,0.51,0.52,0.09,0.5,0,0.48,0.25,negative,cluster32
260,0.53,0.61,0.52,0.21,0.5,0,0.55,0.3,negative,cluster8
261,0.54,0.42,0.41,0.16,0.5,0,0.52,0.22,negative,cluster16
262,0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,negative,cluster33
263,0.46,0.43,0.49,0.79,0.5,0,0.49,0.63,negative,cluster18
264,0.51,0.55,0.35,0.16,0.5,0,0.51,0.47,negative,cluster28
265,0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,negative,cluster32
266,0.61,0.3,0.59,0.12,0.5,0,0.49,0.27,negative,cluster4
267,0.37,0.53,0.46,0.23,0.5,0,0.47,0.22,negative,cluster11
268,0.83,0.58,0.33,0.04,0.5,0,0.53,0.22,negative,cluster29
269,0.39,0.45,0.53,0.18,0.5,0,0.54,0.22,negative,cluster25
270,0.52,0.54,0.5,0.21,0.5,0,0.48,0.3,negative,cluster32
271,0.35,0.39,0.57,0.11,0.5,0,0.48,0.22,negative,cluster33
272,0.36,0.49,0.3,0.22,0.5,0,0.52,0.31,negative,cluster24
273,0.78,0.7,0.32,0.23,0.5,0,0.53,0.22,negative,cluster29
274,0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,negative,cluster0
275,0.45,0.56,0.54,0.32,0.5,0,0.57,0.22,negative,cluster20
276,0.45,0.56,0.53,0.32,0.5,0,0.57,0.22,negative,cluster20
277,0.29,0.43,0.4,0.15,0.5,0,0.53,0.22,negative,cluster24
278,0.52,0.75,0.37,0.14,0.5,0,0.46,0.22,negative,cluster6
279,0.71,0.56,0.39,0.27,0.5,0,0.52,0.22,negative,cluster29
280,0.58,0.6,0.43,0.12,0.5,0,0.55,0.22,negative,cluster8
281,0.54,0.65,0.49,0.34,0.5,0,0.52,0.22,negative,cluster8
282,0.57,0.59,0.44,0.16,0.5,0,0.52,0.22,negative,cluster8
283,0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,negative,cluster8
284,0.92,0.61,0.4,0.22,0.5,0,0.54,0.22,negative,cluster29
285,0.55,0.56,0.45,0.14,0.5,0,0.54,0.22,negative,cluster32
286,0.63,0.61,0.41,0.22,0.5,0,0.51,0.22,negative,cluster29
287,0.58,0.53,0.38,0.18,0.5,0,0.52,0.22,negative,cluster28
288,0.36,0.46,0.43,0.19,0.5,0,0.48,0.22,negative,cluster24
289,0.32,0.47,0.55,0.12,0.5,0,0.52,0.22,negative,cluster11
290,0.34,0.38,0.45,0.19,0.5,0,0.51,0.22,negative,cluster21
291,0.62,0.58,0.46,0.13,0.5,0,0.53,0.22,negative,cluster8
292,0.53,0.68,0.42,0.19,0.5,0,0.53,0.22,negative,cluster28
293,0.73,0.55,0.41,0.16,0.5,0,0.46,0.22,negative,cluster29
294,0.55,0.46,0.46,0.31,0.5,0,0.58,0.48,negative,cluster18
295,0.35,0.6,0.47,0.13,0.5,0,0.52,0.43,negative,cluster0
296,0.77,0.8,0.51,0.4,1,0,0.54,0.22,negative,cluster15
297,0.35,0.46,0.49,0.15,1,0,0.55,0.35,negative,cluster9
298,0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,negative,cluster25
299,0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,negative,cluster8
300,0.63,0.62,0.42,0.12,0.5,0,0.52,0.25,negative,cluster8
301,0.25,0.4,0.51,0.18,0.5,0,0.5,0.27,negative,cluster21
302,0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,negative,cluster8
303,0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,negative,cluster8
304,0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,negative,cluster26
305,0.46,0.35,0.33,0.17,0.5,0,0.55,0.22,negative,cluster16
306,0.54,0.55,0.42,0.22,0.5,0,0.48,0.22,negative,cluster28
307,0.39,0.44,0.28,0.12,0.5,0,0.46,0.27,negative,cluster5
308,0.33,0.44,0.49,0.08,0.5,0,0.48,0.49,negative,cluster17
309,0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,negative,cluster1
310,0.46,0.48,0.44,0.21,0.5,0,0.55,0.22,negative,cluster25
311,0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,negative,cluster33
312,0.74,0.72,0.47,0.25,0.5,0,0.57,0.22,negative,cluster29
313,0.54,0.57,0.52,0.19,0.5,0,0.59,0.67,negative,cluster31
314,0.42,0.52,0.4,0.17,0.5,0,0.5,0.26,negative,cluster24
315,0.91,0.77,0.34,0.47,0.5,0,0.52,0.31,negative,cluster3
316,0.81,0.9,0.39,0.41,0.5,0,0.53,0.22,negative,cluster3
317,0.45,0.4,0.56,0.14,0.5,0,0.54,0.22,negative,cluster19
318,0.47,0.47,0.58,0.16,0.5,0,0.49,0.28,negative,cluster25
319,0.41,0.39,0.51,0.52,0.5,0,0.49,0.22,negative,cluster30
320,0.37,0.34,0.32,0.22,0.5,0,0.56,0.22,negative,cluster5
321,0.69,0.6,0.5,0.31,0.5,0,0.55,0.22,negative,cluster29
322,0.35,0.56,0.36,0.3,0.5,0,0.53,0.25,negative,cluster24
323,0.84,0.66,0.36,0.78,0.5,0,0.49,0.5,negative,cluster14
324,0.51,0.58,0.54,0.29,0.5,0,0.53,0.22,negative,cluster20
325,0.37,0.43,0.62,0.27,0.5,0,0.48,0.22,negative,cluster33
326,0.55,0.66,0.57,0.32,0.5,0,0.57,0.34,negative,cluster8
327,0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,negative,cluster16
328,0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,negative,cluster8
329,0.56,0.59,0.53,0.16,0.5,0,0.24,0.42,negative,cluster2
330,0.44,0.51,0.37,0.15,0.5,0,0.51,0.22,negative,cluster24
331,0.44,0.44,0.49,0.15,0.5,0,0.46,0.27,negative,cluster25
332,0.5,0.5,0.48,0.17,0.5,0,0.47,0.26,negative,cluster25
333,0.6,0.6,0.49,0.3,0.5,0,0.53,0.22,negative,cluster8
