@relation ecoli1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}   

@data
0.39,0.41,0.48,0.5,0.45166666666666666,0.25,0.2516666666666667,negative
0.77,0.57,1.0,0.5,0.37,0.54,0.010000000000000009,negative
0.6,0.76,1.0,0.5,0.77,0.59,0.52,negative
0.42714285714285716,0.37285714285714283,0.48,0.5,0.47714285714285715,0.32142857142857145,0.41857142857142854,negative
0.628,0.784,0.48,0.5,0.47600000000000003,0.34199999999999997,0.356,negative
0.75,0.55,1.0,1.0,0.4,0.47,0.3,negative
0.57,0.38,0.48,0.5,0.06,0.49,0.33,negative
0.6433333333333333,0.8533333333333333,0.48,0.5,0.3666666666666667,0.4433333333333333,0.3666666666666667,negative
0.0,0.38,0.48,0.5,0.42,0.48,0.55,negative
0.305,0.315,0.48,0.5,0.525,0.04500000000000004,0.185,negative
0.7125,0.3125,0.48,0.5,0.605,0.7424999999999999,0.77,negative
0.7224999999999999,0.8300000000000001,0.48,0.5,0.425,0.53,0.33,negative
0.692,0.694,0.48,0.5,0.442,0.448,0.332,negative
0.3842857142857143,0.32,0.48,0.5,0.36,0.35857142857142854,0.4471428571428571,negative
0.6366666666666667,0.7366666666666667,0.48,0.5,0.43333333333333335,0.4,0.19333333333333333,negative
0.49,0.61,1.0,0.5,0.56,0.71,0.74,negative
0.29000000000000004,0.56,0.48,0.5,0.605,0.325,0.42,negative
0.72,0.7866666666666666,0.48,0.5,0.8433333333333333,0.5333333333333333,0.2866666666666666,negative
0.5599999999999999,0.5233333333333333,0.48,0.5,0.6166666666666667,0.73,0.7633333333333333,negative
0.47250000000000003,0.5525,0.48,0.5,0.4825,0.47,0.5425,negative
0.685,0.565,0.48,0.5,0.48,0.69,0.25,negative
0.73,0.71,0.48,0.5,0.45999999999999996,0.7749999999999999,0.8,negative
0.4,0.45,0.48,0.5,0.38,0.22,0.0,negative
0.39249999999999996,0.2625,0.48,0.5,0.56,0.15500000000000003,0.2575,negative
0.68,0.82,0.48,0.5,0.38,0.65,0.56,negative
0.7675,0.4375,0.48,0.5,0.65,0.8325,0.8474999999999999,negative
0.6,0.6125,0.48,0.5,0.41000000000000003,0.43,0.3575,negative
0.77,0.57,0.48,0.5,0.88,0.53,0.2,negative
0.44,0.31,0.48,0.5,0.55,0.535,0.595,negative
0.32499999999999996,0.43333333333333335,0.48,0.5,0.5183333333333333,0.35,0.43666666666666665,negative
0.67,0.55,1.0,0.5,0.66,0.58,0.15999999999999998,negative
0.7133333333333334,0.8300000000000001,0.48,0.5,0.5633333333333334,0.51,0.27666666666666667,negative
0.53,0.42,0.48,0.5,0.15999999999999998,0.29,0.39,negative
0.49714285714285716,0.43714285714285717,0.48,0.5,0.4714285714285714,0.2828571428571429,0.37285714285714283,negative
0.22333333333333333,0.48333333333333334,0.48,0.5,0.45666666666666667,0.52,0.5833333333333333,negative
0.49,0.43333333333333335,0.48,0.5,0.37,0.36666666666666664,0.42333333333333334,negative
0.63,1.0,0.48,0.5,0.35,0.51,0.49,negative
0.266,0.416,0.48,0.5,0.382,0.372,0.45,negative
0.2666666666666666,0.4116666666666667,0.48,0.5,0.345,0.2616666666666667,0.36833333333333335,negative
0.54,0.7450000000000001,0.48,0.5,0.745,0.37,0.41500000000000004,negative
0.84,0.54,0.48,0.5,0.75,0.92,0.7,negative
0.85,0.53,0.48,0.5,0.53,0.52,0.35,negative
0.23250000000000004,0.5125,0.48,0.5,0.4625,0.325,0.4175,negative
0.6799999999999999,0.6,0.48,0.5,0.4666666666666667,0.47333333333333333,0.5,negative
0.67,0.86,0.48,0.5,0.735,0.52,0.31,negative
0.7933333333333334,0.41333333333333333,0.48,0.5,0.44333333333333336,0.74,0.6866666666666666,negative
0.03999999999999998,0.31,0.48,0.5,0.41,0.29,0.39,negative
0.74,0.48,0.48,0.5,0.45999999999999996,0.5549999999999999,0.39,negative
0.38,0.4,0.48,0.5,0.5675,0.2325,0.33999999999999997,negative
0.27,0.3,0.48,0.5,0.71,0.28,0.39,negative
0.6900000000000001,0.41,0.48,0.5,0.5700000000000001,0.6133333333333333,0.6533333333333333,negative
0.65,0.7775000000000001,0.48,0.5,0.395,0.425,0.4575,negative
0.5925,0.53,0.48,0.5,0.41500000000000004,0.3675,0.3175,negative
