@relation ecoli2
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {positive, negative}

@data
0.62,0.78,0.48,0.5,0.47,0.49,0.54,positive
0.76,0.73,0.48,0.5,0.44,0.39,0.39,positive
0.64,0.81,0.48,0.5,0.37,0.39,0.44,positive
0.29,0.39,0.48,0.5,0.52,0.4,0.48,positive
0.62,0.83,0.48,0.5,0.46,0.36,0.4,positive
0.56,0.54,0.48,0.5,0.43,0.37,0.3,positive
0.69,0.66,0.48,0.5,0.41,0.5,0.25,positive
0.69,0.65,0.48,0.5,0.63,0.48,0.41,positive
0.43,0.59,0.48,0.5,0.52,0.49,0.56,positive
0.74,0.56,0.48,0.5,0.47,0.68,0.3,positive
0.71,0.57,0.48,0.5,0.48,0.35,0.32,positive
0.61,0.6,0.48,0.5,0.44,0.39,0.38,positive
0.59,0.61,0.48,0.5,0.42,0.42,0.37,positive
0.74,0.74,0.48,0.5,0.31,0.53,0.52,positive
0.7114285714285714,0.822857142857143,0.48,0.5,0.76,0.53,0.27428571428571424,negative
0.448,0.35,0.48,0.5,0.518,0.304,0.402,negative
0.6471428571428571,0.5071428571428571,0.48,0.5,0.62,0.7928571428571429,0.8157142857142857,negative
0.4822222222222222,0.46444444444444444,0.48,0.5,0.5811111111111111,0.7577777777777778,0.7755555555555556,negative
0.75,0.55,1.0,1.0,0.4,0.47,0.3,negative
0.2521428571428571,0.3628571428571429,0.48,0.5,0.37857142857142856,0.27928571428571436,0.3821428571428571,negative
0.3,0.51,0.48,0.5,0.42,0.61,0.34,negative
0.77,0.57,1.0,0.5,0.37,0.54,0.010000000000000009,negative
0.8420000000000001,0.496,0.48,0.5,0.591,0.775,0.764,negative
0.49,0.61,1.0,0.5,0.56,0.71,0.74,negative
0.69125,0.61625,0.48,0.5,0.75375,0.4175,0.27249999999999996,negative
0.22166666666666668,0.47,0.48,0.5,0.375,0.43666666666666665,0.5066666666666666,negative
0.45,0.37625,0.48,0.5,0.425,0.26999999999999996,0.36,negative
0.27749999999999997,0.425,0.48,0.5,0.5075,0.805,0.8275,negative
0.57,0.38,0.48,0.5,0.06,0.49,0.33,negative
0.6838461538461538,0.37923076923076926,0.48,0.5,0.5907692307692307,0.77,0.7807692307692308,negative
0.07,0.3675,0.48,0.5,0.455,0.385,0.47000000000000003,negative
0.625,0.755,0.48,0.5,0.48,0.33999999999999997,0.355,negative
0.6966666666666667,0.51,0.48,0.5,0.5700000000000001,0.5033333333333334,0.3466666666666667,negative
0.5533333333333333,0.5133333333333333,0.48,0.5,0.3816666666666667,0.33999999999999997,0.3783333333333333,negative
0.15999999999999998,0.5175,0.48,0.5,0.665,0.6625,0.685,negative
0.28,0.4375,0.48,0.5,0.435,0.20500000000000002,0.31875000000000003,negative
0.69,0.7025,0.48,0.5,0.615,0.69,0.7025,negative
0.44,0.32333333333333336,0.48,0.5,0.5133333333333334,0.53,0.5933333333333333,negative
0.6799999999999999,0.4975,1.0,0.5,0.585,0.5700000000000001,0.275,negative
0.32,0.256,0.48,0.5,0.5760000000000001,0.08200000000000002,0.20400000000000001,negative
0.534,0.598,0.48,0.5,0.514,0.8200000000000001,0.838,negative
0.40900000000000003,0.469,0.48,0.5,0.502,0.20500000000000002,0.30200000000000005,negative
0.62125,0.54125,0.48,0.5,0.54125,0.705,0.7025,negative
0.6499999999999999,0.445,1.0,0.5,0.525,0.7949999999999999,0.8200000000000001,negative
0.77,0.4325,0.48,0.5,0.4825,0.685,0.685,negative
0.53,0.505,0.48,0.5,0.4175,0.875,0.8775000000000001,negative
0.236,0.49,0.48,0.5,0.46399999999999997,0.326,0.418,negative
0.54,0.7450000000000001,0.48,0.5,0.745,0.37,0.41500000000000004,negative
0.36,0.49625,0.48,0.5,0.48375,0.7275,0.7575000000000001,negative
0.43857142857142856,0.52,0.48,0.5,0.4714285714285714,0.46285714285714286,0.5357142857142857,negative
0.3977777777777778,0.32333333333333336,0.48,0.5,0.36666666666666664,0.3511111111111111,0.4411111111111111,negative
0.32166666666666666,0.47333333333333333,0.48,0.5,0.6066666666666667,0.8716666666666666,0.8699999999999999,negative
0.2957142857142857,0.3728571428571429,0.48,0.5,0.5085714285714286,0.4557142857142857,0.5314285714285715,negative
0.41000000000000003,0.52,0.48,0.5,0.37,0.775,0.2,negative
0.06,0.61,0.48,0.5,0.49,0.92,0.37,negative
0.04999999999999999,0.5,0.48,0.5,0.38,0.67,0.32499999999999996,negative
0.534,0.436,0.48,0.5,0.652,0.638,0.6819999999999999,negative
0.22375000000000003,0.33625,0.48,0.5,0.52375,0.25875,0.36375,negative
0.61,0.47,0.48,0.5,0.0,0.8,0.32,negative
0.37666666666666665,0.4866666666666667,0.48,0.5,0.42,0.37555555555555553,0.43777777777777777,negative
0.6,0.76,1.0,0.5,0.77,0.59,0.52,negative
0.62,0.414,0.48,0.5,0.482,0.35,0.434,negative
0.51,0.46749999999999997,0.48,0.5,0.23250000000000004,0.2525,0.35250000000000004,negative
0.4066666666666667,0.37166666666666665,0.48,0.5,0.48,0.22333333333333333,0.2033333333333333,negative
0.32333333333333336,0.4577777777777778,0.48,0.5,0.55,0.3333333333333333,0.42333333333333334,negative
0.7733333333333333,0.44166666666666665,0.48,0.5,0.59,0.8933333333333333,0.9016666666666666,negative
